2018/10/28 16:35:00 [error] 12#0: *2 open() "/var/www/login.html" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /login.html HTTP/1.1", host: "localhost:8002"
2018/10/28 16:35:00 [error] 12#0: *2 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/login.html"
2018/10/28 16:36:39 [error] 12#0: *13 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/registration-advanced.html"
2018/10/28 16:36:40 [error] 12#0: *13 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/registration-advanced.html"
2018/10/28 16:36:43 [error] 12#0: *13 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/registration-advanced.html"
2018/10/28 17:01:51 [error] 12#0: *37 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:05 [error] 12#0: *37 open() "/var/www/src/assets/styles.css" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/styles.css HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:05 [error] 12#0: *40 open() "/var/www/src/assets/dom.js" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/dom.js HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:05 [error] 12#0: *37 open() "/var/www/src/assets/app.js" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/app.js HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:05 [error] 12#0: *37 open() "/var/www/src/assets/logo.svg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/logo.svg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:05 [error] 12#0: *37 open() "/var/www/src/assets/img1.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img1.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:05 [error] 12#0: *37 open() "/var/www/src/assets/img2.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img2.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:39 [error] 12#0: *41 open() "/var/www/src/assets/styles.css" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/styles.css HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:39 [error] 12#0: *43 open() "/var/www/src/assets/dom.js" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/dom.js HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:39 [error] 12#0: *43 open() "/var/www/src/assets/app.js" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/app.js HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:39 [error] 12#0: *43 open() "/var/www/src/assets/logo.svg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/logo.svg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:39 [error] 12#0: *43 open() "/var/www/src/assets/img1.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img1.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:39 [error] 12#0: *43 open() "/var/www/src/assets/img2.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img2.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:02:39 [error] 12#0: *43 open() "/var/www/src/assets/ico.png" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/ico.png HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:03:14 [error] 12#0: *44 open() "/var/www/src/assets/logo.svg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/logo.svg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:03:14 [error] 12#0: *44 open() "/var/www/src/assets/img1.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img1.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:03:14 [error] 12#0: *44 open() "/var/www/src/assets/img2.jpg" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/assets/img2.jpg HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:03:18 [error] 12#0: *44 open() "/var/www/src/registration-advanced.html" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /src/registration-advanced.html HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/controller.php?action=advanced"
2018/10/28 17:03:18 [error] 12#0: *44 open() "/var/www/favicon.ico" failed (2: No such file or directory), client: 192.168.80.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8002", referrer: "http://localhost:8002/src/registration-advanced.html"
